1	-1	0.5	0.3
2	-1	0.5	0.3
3	-0.357212390313461	0.266044443118978	0.3
4	-0.357212390313461	0.266044443118978	0.3
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	-1	0.5	0.3
24	0	0	0
25	-0.871583248549214	0.453260124890753	0.3
40	0	0	0
41	-0.742814892275928	0.406392276091891	0.3
56	0	0	0
57	-0.614368572595096	0.359641639027027	0.3
72	0	0	0
73	-0.485485157339677	0.312731912183484	0.3
88	0	0	0
89	-0.357212390313461	0.266044443118978	0.3
104	0	0	0
105	-1	0.5	0.3
120	0	0	0
121	-0.870650563727558	0.452920655377718	0.3
136	0	0	0
137	-0.74250378307284	0.406279041602361	0.3
152	0	0	0
153	-0.61401311104694	0.359512261604072	0.3
168	0	0	0
169	-0.485729416631358	0.312820815295099	0.3
184	0	0	0
185	-0.357212390313461	0.266044443118978	0.3
200	0	0	0
201	-1	0.5	0.3
216	0	0	0
217	-0.870581142665712	0.452895388177575	0.3
232	0	0	0
233	-0.741952914091339	0.406078541690114	0.3
248	0	0	0
249	-0.614591619895658	0.359722821605265	0.3
264	0	0	0
265	-0.485988460038062	0.312915099384522	0.3
280	0	0	0
281	-0.357212390313461	0.266044443118978	0.3
296	0	0	0
297	-1	0.5	0.3
312	0	0	0
313	-0.871379484876943	0.453185960979221	0.3
328	0	0	0
329	-0.742680549665504	0.406343379380503	0.3
344	0	0	0
345	-0.61302900321651	0.359154075646487	0.3
360	0	0	0
361	-0.485107841012791	0.312594580271595	0.3
376	0	0	0
377	-0.357212390313461	0.266044443118978	0.3
392	0	0	0
393	-1	0.5	0.3
408	0	0	0
409	-0.871454048239667	0.453213099823819	0.3
424	0	0	0
425	-0.743318837761923	0.406575697248486	0.3
440	0	0	0
441	-0.615804560115136	0.360164295741099	0.3
456	0	0	0
457	-0.486659530302575	0.313159348985906	0.3
472	0	0	0
473	-0.357212390313461	0.266044443118978	0.3
488	0	0	0
489	-1	0.5	0.3
504	0	0	0
505	-0.871311992177926	0.453161395645749	0.3
520	0	0	0
521	-0.742166319577755	0.406156214934998	0.3
536	0	0	0
537	-0.612485847686325	0.358956383200923	0.3
552	0	0	0
553	-0.4847832332699	0.31247643271537	0.3
568	0	0	0
569	-0.357212390313461	0.266044443118978	0.3
584	0	0	0
